Fixture Type,Symbol Source,Symbol File
"?HF_Mac_Aura_PXL_Compact_Direct","GDTF 2D","Martin_Professional_MAC_Aura_PXL"
"?_HF_ATMe_Power","Drawn","fixture_hazer"
"?_HF_KL_Core_IP_19ch","Drawn","fixture_par"
"?_HF_KL_PAR_IP_Compact_19ch","Drawn","fixture_par"
"?_HF_Mac_Aura_Extended","GDTF 2D","Martin_Professional_MAC_Aura"
"?_HF_Mac_Aura_XB_Standard_RAW","GDTF 2D","Martin_Professional_MAC_Aura_XB"
"?_HF_Mac_Encore_Performance_CLD","GDTF 2D","Mac_Encore_Performance_WRM"
"?_HF_Mac_Ultra_Performance_Extended","GDTF 2D","Mac_Ultra"
"?_HF_Mac_Viper_XIP_Extended","GDTF 2D","Martin_Professional_MAC_Viper_XIP"
"?_HF_Mac_Viper_XIP_Ludicrous","GDTF 2D","Martin_Professional_MAC_Viper_XIP"
"A.leda_B_EYE_K20_Standard","Drawn","fixture_moving_wash"
"AF_1","Drawn","fixture_fan"
"ANE_ATMe","Drawn","fixture_hazer"
"ATMe","Drawn","fixture_hazer"
"CAPTURE_HAZER","Drawn","fixture_hazer"
"CAPTURE_MOVER_-_ELECTRIC_TRIM_0'-30'","Drawn","fixture_moving_spot"
"Color_Force_II_72_RGBA_x4_Off_MC","Drawn","fixture_strip"
"Colordash_Accent_Quad_4ch","Drawn","fixture_led"
"D60_Lustr+_Direct_StrFan","Drawn","fixture_led"
"Dimmer","Drawn","fixture_relay"
"Dimmer_16B","Drawn","fixture_relay"
"FULL_STAGE_FIGURE","Drawn","fixture_scenic"
"Fan","Drawn","fixture_fan"
"Geyser_P7","Drawn","fixture_hazer"
"HF_Best_Boy_LED_Shutters","Drawn","fixture_moving_spot"
"HF_Color_Force_II_Cell_(RGBA)","Drawn","fixture_strip"
"HF_Color_Force_I_Cell_(RGBA)","Drawn","fixture_strip"
"HF_DMX-64_FIBER_OPTIC_ILLUMINATOR","Drawn","fixture_scenic"
"HF_Mac_Aura_XB_Extended_RAW","GDTF 2D","Martin_Professional_MAC_Aura_XB"
"HF_Mac_Encore_Performance_CLD","GDTF 2D","Mac_Encore_Performance_WRM"
"HF_Mac_Ultra_Performance_Extended_HF","GDTF 2D","Mac_Ultra"
"HF_Mac_Viper_Performance_16B_Extended","GDTF 2D","Martin_Professional_MAC_Viper_Performance"
"HF_Mac_Viper_Wash_DX_16B_Extended","GDTF 2D","Martin_Professional_MAC_Viper_Wash_DX"
"HF_Radiance_Hazer","Drawn","fixture_hazer"
"Halcyon_Gold_High_Fidelity_Standard_Pan_540","GDTF 3D","High_End_Systems_Halcyon_Gold_High_Fidelity"
